scientificName,decimalLongitude,decimalLatitude
Desmophyllum dianthus,-119.4718,33.91861
Desmophyllum dianthus,167.818,-44.601
Desmophyllum dianthus,-119.47289,33.95954
Desmophyllum dianthus,-179.483333,-42.706833
Desmophyllum dianthus,167.050003,-20.883333
Desmophyllum dianthus,-119.47943,33.92052
Desmophyllum dianthus,-119.47285,33.92116
Desmophyllum dianthus,-1.909999967,35.90999985
Desmophyllum dianthus,158.9170074,-53.91699982
Desmophyllum dianthus,-119.47275,33.95955
Desmophyllum dianthus,171.903549,-45.026531
Desmophyllum dianthus,-119.47275,33.95783
Desmophyllum dianthus,-31.08300018,39.39167023
Desmophyllum dianthus,-117.96826,32.64023
Desmophyllum dianthus,178.5,-44.4
Desmophyllum dianthus,-72.44830322,-42.34109879
Desmophyllum dianthus,147.8670044,-47.34999847
Desmophyllum dianthus,-178.6499939,-30.51000023
Desmophyllum dianthus,178.142502,-40.039799
Desmophyllum dianthus,-117,32
Desmophyllum dianthus,170.9167023,-33.63330078
Desmophyllum dianthus,177.854996,-35.914501
Desmophyllum dianthus,15.60999966,36.56999969
Desmophyllum dianthus,168.01,-37.336667
Desmophyllum dianthus,167.8600006,-44.63000107
Desmophyllum dianthus,-11.86999989,51.31999969
Desmophyllum dianthus,165.316667,-35.433333
Desmophyllum dianthus,-89.8133316,-1.311939955
Desmophyllum dianthus,-117.41484,32.64218
Desmophyllum dianthus,-72.59999847,-42.54999924
Desmophyllum dianthus,161.978,-51.061
Desmophyllum dianthus,-29.75,37.90000153
Desmophyllum dianthus,162.0099945,-51
Desmophyllum dianthus,-73.68332672,-51.8666687
Desmophyllum dianthus,-117.41394,32.64673
Desmophyllum dianthus,176.4700012,-37.36000061
Desmophyllum dianthus,-117.98653,32.65264
Desmophyllum dianthus,169.7048333,-43.29183333
Desmophyllum dianthus,-2.900000095,36
Desmophyllum dianthus,-167.15517,24.52448
Desmophyllum dianthus,-119.47675,33.91866
Desmophyllum dianthus,-129.8000031,-54.83000183
Desmophyllum dianthus,175.4830017,-41.70000076
Desmophyllum dianthus,-79.51999664,25.68000031
Desmophyllum dianthus,-72.91999817,-43.77999878
Desmophyllum dianthus,-127.7933273,32.43333054
Desmophyllum dianthus,175.3300018,-43.86000061
Desmophyllum dianthus,166.8899994,-45.65000153
Desmophyllum dianthus,-176.6542,-44.70067
Desmophyllum dianthus,-119.48353,33.91892
Desmophyllum dianthus,-118.40846,32.7244
Desmophyllum dianthus,-90.12000275,-0.550000012
Desmophyllum dianthus,-73.63970184,-43.18230057
Desmophyllum dianthus,164.5,-49.01699829
Desmophyllum dianthus,167.2833333,-15.13333333
Desmophyllum dianthus,-79.6166687,26.375
Desmophyllum dianthus,-168.1100006,-38.45000076
Desmophyllum dianthus,-29.26000023,60.08000183
Desmophyllum dianthus,-31.20000076,39.40000153
Desmophyllum dianthus,172.6999969,-30.48999977
Desmophyllum dianthus,-179.3300018,-48.15999985
Desmophyllum dianthus,-5.880000114,45.63000107
Desmophyllum dianthus,-117.98652,32.65264
Desmophyllum dianthus,-73.76670074,-52.75830078
Desmophyllum dianthus,173.563293,-42.553299
Desmophyllum dianthus,-119.47267,33.91944
Desmophyllum dianthus,-11.77999973,51.43000031
Desmophyllum dianthus,151.4299927,-34.29999924
Desmophyllum dianthus,-174.5553333,-44.15783333
Desmophyllum dianthus,-11.30000019,50.70000076
Desmophyllum dianthus,175.447998,-28.14550018
Desmophyllum dianthus,177.843,-35.88566667
Desmophyllum dianthus,131.0599976,-34.86000061
Desmophyllum dianthus,149.833,-39.15
Desmophyllum dianthus,-119.61669,33.04899
Desmophyllum dianthus,158.4799957,-59.31000137
Desmophyllum dianthus,167.6799927,-32.34999847
Desmophyllum dianthus,167.8200073,-44.59999847
Desmophyllum dianthus,-119.48823,33.92193
Desmophyllum dianthus,173.8800049,-43.06999969
Desmophyllum dianthus,170.9100037,-33.63000107
Desmophyllum dianthus,-28.167,38.317
Desmophyllum dianthus,-73.0261,38.4886
Desmophyllum dianthus,179.4313333,-34.7576667
Desmophyllum dianthus,-72.675,38.7625
Desmophyllum dianthus,114.97599,-31.61305
Desmophyllum dianthus,-117.39972,32.62111
Desmophyllum dianthus,175.7700043,-44.11999893
Desmophyllum dianthus,-58.99000168,43.97000122
Desmophyllum dianthus,-74.33830261,-48.57780075
Desmophyllum dianthus,-119.48463,33.92001
Desmophyllum dianthus,-9.06000042,44.09999847
Desmophyllum dianthus,-119.35757,32.89892
Desmophyllum dianthus,161.978,-51.061
Desmophyllum dianthus,-16.54999924,32.43000031
Desmophyllum dianthus,-119.47297,33.92122
Desmophyllum dianthus,-119.46468,33.95399
Desmophyllum dianthus,174.6988333,-41.98533333
Desmophyllum dianthus,-178.551667,-44.45
Desmophyllum dianthus,-68.68000031,-59.72999954
Desmophyllum dianthus,-156.66007,20.48685
Desmophyllum dianthus,-89.80999756,-1.279999971
Desmophyllum dianthus,-63,34
Desmophyllum dianthus,178.3300018,-39.43000031
Desmophyllum dianthus,-31.57999992,58.34999847
Desmophyllum dianthus,148.55,-40.2
Desmophyllum dianthus,-179.2175,-43.052
Desmophyllum dianthus,162.0099945,-51
Desmophyllum dianthus,176.8099976,-36.15999985
Desmophyllum dianthus,-118.1999969,33.29999924
Desmophyllum dianthus,178.5108,-35.353
Desmophyllum dianthus,-27.02,40.523
Desmophyllum dianthus,-11.72999954,51.45000076
Desmophyllum dianthus,-179.216833,-43.858333
Desmophyllum dianthus,178.6499939,-43.06000137
Desmophyllum dianthus,-117,32
Desmophyllum dianthus,-90.88999939,-0.180000007
Desmophyllum dianthus,16.6663,38.2453
Desmophyllum dianthus,-174,-44.2
Desmophyllum dianthus,-179.161333,-43.6355
Desmophyllum dianthus,178.5417,-35.3497
Desmophyllum dianthus,-117.98651,32.65264
Desmophyllum dianthus,175.4799957,-41.70000076
Desmophyllum dianthus,-74.55000305,-48.27999878
Desmophyllum dianthus,-179.988,-42.7913
Desmophyllum dianthus,-82.1166687,-21.66666603
Desmophyllum dianthus,167.6300049,-50.63000107
Desmophyllum dianthus,-28.42000008,61.61000061
Desmophyllum dianthus,147.208625,-44.25028
Desmophyllum dianthus,173.6499939,-43.22999954
Desmophyllum dianthus,166.6300049,-16.03000069
Desmophyllum dianthus,167.6799927,-32.34999847
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum dianthus,170.1000061,-33.54999924
Desmophyllum dianthus,-119.48879,33.92185
Desmophyllum dianthus,-178.5,-30.55999947
Desmophyllum dianthus,-49.23329926,-49.71670151
Desmophyllum dianthus,-29.134,37.86
Desmophyllum dianthus,-119.47786,33.92006
Desmophyllum dianthus,-168.1100006,-38.45000076
Desmophyllum dianthus,-72.44999695,-42.34000015
Desmophyllum dianthus,-119.47873,33.9203
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum dianthus,-119.47333,33.92137
