scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-88.37752,29.06926
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,22.47436,70.267728
Desmophyllum pertusum,-119.30222,34.03782
Desmophyllum pertusum,-12.75,60.56999969
Desmophyllum pertusum,-5.900000095,61.04000092
Desmophyllum pertusum,-79.76532,28.38952
Desmophyllum pertusum,-14.06999969,63.83000183
Desmophyllum pertusum,-84.7318,26.19657
Desmophyllum pertusum,-84.75,26.32999992
Desmophyllum pertusum,13.11499977,36.86500168
Desmophyllum pertusum,-13.14999962,60.38333511
Desmophyllum pertusum,-125.01126,48.24295
Desmophyllum pertusum,-119.13536,33.70926
Desmophyllum pertusum,-84.72763,26.20478
Desmophyllum pertusum,-21.61000061,63.11000061
Desmophyllum pertusum,-79.3333,26.5833
Desmophyllum pertusum,4.0067,62.665
Desmophyllum pertusum,-78.30999756,31.82999992
Desmophyllum pertusum,4.7,62.6
Desmophyllum pertusum,0.910000026,61.27000046
Desmophyllum pertusum,6.7116,62.9659
Desmophyllum pertusum,14.42687998,68.91095054
Desmophyllum pertusum,-79.61282,28.03864
Desmophyllum pertusum,4.0567,62.675
Desmophyllum pertusum,5.650000095,63.70999908
Desmophyllum pertusum,11.57999992,-6.659999847
Desmophyllum pertusum,7.9203,64.0422
Desmophyllum pertusum,8.359999657,64.34999847
Desmophyllum pertusum,9.369999886,65.11000061
Desmophyllum pertusum,11.03999996,58.49000168
Desmophyllum pertusum,22.481865,70.264296
Desmophyllum pertusum,-91.26000214,27.70999908
Desmophyllum pertusum,5.099999905,63.06999969
Desmophyllum pertusum,14.30022952,68.95708557
Desmophyllum pertusum,8.322331,66.967377
Desmophyllum pertusum,10.78999996,59.09000015
Desmophyllum pertusum,9.9,63.5333
Desmophyllum pertusum,10.72000027,59.13999939
Desmophyllum pertusum,-81.59999847,24.18333054
Desmophyllum pertusum,-79.7233,28.45852
Desmophyllum pertusum,9.329999924,67.45999908
Desmophyllum pertusum,-6.239999771,60.59999847
Desmophyllum pertusum,8.06000042,64.08000183
Desmophyllum pertusum,-75.88424,34.21597
Desmophyllum pertusum,-84.76667,26.35
Desmophyllum pertusum,-15.78999996,55.5
Desmophyllum pertusum,-79.76674,28.38879
Desmophyllum pertusum,-13.47000027,57.38000107
Desmophyllum pertusum,-17.29999924,56.49000168
