scientificName,decimalLongitude,decimalLatitude
Desmophyllum striatum,-82.92881775,23.03691673
Desmophyllum striatum,-77.34999847,18.45999908
Desmophyllum striatum,-69.22000122,20.29999924
Desmophyllum striatum,-77.0833,25.1667
Desmophyllum striatum,167.094498,-20.788166
Desmophyllum striatum,-82.41999817,23.13999939
Desmophyllum striatum,-77.34999847,18.45999908
Desmophyllum striatum,-69.21666718,20.29999924
Desmophyllum striatum,163.21666,-18.553333
Desmophyllum striatum,-81.18000031,22.21999931
Desmophyllum striatum,-75.41667175,23.60000038
Desmophyllum striatum,-89.18030548,23.64209747
Desmophyllum striatum,-77.18000031,24.03000069
Desmophyllum striatum,167.084671,-20.789167
Desmophyllum striatum,-75.41999817,23.60000038
Desmophyllum striatum,-77.08332825,25.16666985
Desmophyllum striatum,-77.08000183,25.17000008
